setting,activity,n,MDD,ACD,SD,KD,ED,DTW,real_windows,paired_windows
multi_raw_unified,walking,51,0.1736472100019455,5.343526363372803,0.016325443983078003,40.23331832885742,700.2906175208831,9920.935449694047,54,51
multi_raw_unified,running,58,0.19449639320373535,1.6228832006454468,1.3487598896026611,92.91191864013672,569.6873778006579,7943.933964861226,62,58
multi_clip_p05_p95,walking,51,0.17163099348545074,3.1169028282165527,0.22874115407466888,0.7460482120513916,21.67190008587333,166.06548594174313,54,51
multi_clip_p05_p95,running,58,0.20381931960582733,1.6114426851272583,0.6517156362533569,0.2805044651031494,20.737438208169724,147.2354915521723,62,58
