setting,activity,n,MDD,ACD,SD,KD,ED,DTW
clip_p05_p95,walking,72,0.2648104727268219,0.8104954957962036,0.21231502294540405,0.9361228942871094,18.192801655925727,184.86842934382554
clip_p05_p95,running,79,0.31425201892852783,1.3704901933670044,0.39872944355010986,0.35222554206848145,22.410296712881795,137.84534431820273
shrink_p05_p95,walking,72,0.2772483825683594,0.8904532194137573,0.17442119121551514,0.052542686462402344,16.174811266114816,192.90300545027915
shrink_p05_p95,running,79,0.34641849994659424,1.5444279909133911,0.571755588054657,0.32974982261657715,18.934745620799802,161.73445183505999
shrink_minmax,walking,72,0.26431208848953247,0.36157235503196716,0.04126971960067749,1.1614995002746582,18.19462949945947,200.1817332494176
shrink_minmax,running,79,0.3321942090988159,1.5441054105758667,0.3583802878856659,0.5789585113525391,20.25969747397122,158.28550229750155
waveform_interp,walking,56,0.2721617817878723,2.0794637203216553,0.893706202507019,0.11722946166992188,23.040110982307095,237.2786246566317
waveform_interp,running,67,0.3103141188621521,2.7371160984039307,0.5051127672195435,0.8789646625518799,25.776364100082397,204.73588954740185
