condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,78,111,0.6576576576576577,0.6515594541910331,0.6361283643892339,"[[50, 7], [31, 23]]"
real+synthetic-all,140,111,0.6486486486486487,0.6471734892787524,0.646814065431998,"[[40, 17], [22, 32]]"
synthetic-only-good,25,111,0.6486486486486487,0.6403508771929824,0.6073469387755102,"[[54, 3], [36, 18]]"
real+synthetic-good,87,111,0.6756756756756757,0.6734892787524367,0.6724590163934426,"[[43, 14], [22, 32]]"
