setting,activity,n,MDD,ACD,SD,KD,ED,DTW
clip_p05_p95,walking,52,0.1763012409210205,0.9479140043258667,0.5557674169540405,0.6546294689178467,20.76870626388252,166.5685616202713
shrink_minmax,walking,52,0.2019755244255066,1.9386885166168213,1.3653388023376465,4.799064636230469,18.41109386854398,188.14617790128744
clip_p05_p95,running,48,0.21239148080348969,0.943350613117218,0.5719993114471436,0.4175593852996826,20.7059310370402,138.03910756242055
shrink_minmax,running,48,0.22707918286323547,1.7682994604110718,0.4701002538204193,0.47967076301574707,19.11879937241085,151.7871715075055
clip_p05_p95,cycling,50,0.1809263676404953,1.9995890855789185,0.20773936808109283,1.4748284816741943,19.450345698568185,185.54632941938743
shrink_minmax,cycling,50,0.19484655559062958,1.8219178915023804,0.35032111406326294,1.5237689018249512,19.34075386868618,207.06710818267234
