variant,label,input_rows,output_rows,latent_abs_max,decoded_abs_max,decoded_std_mean
clip_minmax,walking,51,51,5.2443676988116605,5.631195408593596,0.9200519990985676
clip_p05_p95,walking,51,51,2.368978638712268,2.8473954073120833,0.7049651369390226
reject_iqr3,walking,51,14,2.216,1.978332845070605,0.4489295050962142
clip_minmax,running,58,58,5.2443676988116605,3.911439898246792,0.8406440347461301
clip_p05_p95,running,58,58,2.368978638712268,2.4943529057704095,0.6296236910187206
reject_iqr3,running,58,21,2.287,2.52460431878994,0.545632984091783
