condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,151,111,0.4954954954954955,0.5009746588693957,0.4767676767676768,"[[17, 40], [16, 38]]"
real+synthetic-all,213,111,0.5315315315315315,0.5346003898635477,0.5268852459016393,"[[24, 33], [19, 35]]"
synthetic-only-good,26,111,0.6486486486486487,0.6403508771929824,0.6073469387755102,"[[54, 3], [36, 18]]"
real+synthetic-good,88,111,0.6756756756756757,0.6734892787524367,0.6724590163934426,"[[43, 14], [22, 32]]"
