condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,151,111,0.5765765765765766,0.5745614035087719,0.5731118566402095,"[[37, 20], [27, 27]]"
real+synthetic-all,213,111,0.6666666666666666,0.6608187134502923,0.6473164448261056,"[[50, 7], [30, 24]]"
synthetic-only-good,41,111,0.6306306306306306,0.6286549707602339,0.6276082153669913,"[[40, 17], [24, 30]]"
real+synthetic-good,103,111,0.6666666666666666,0.6642300194931774,0.6627248090662725,"[[43, 14], [23, 31]]"
