condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,151,111,0.6936936936936937,0.6881091617933723,0.6773255813953488,"[[51, 6], [28, 26]]"
real+synthetic-all,213,111,0.5945945945945946,0.5940545808966862,0.5940674522551808,"[[35, 22], [23, 31]]"
synthetic-only-good,49,111,0.7207207207207207,0.7149122807017544,0.7045083726921426,"[[53, 4], [27, 27]]"
real+synthetic-good,111,111,0.6666666666666666,0.6642300194931774,0.6627248090662725,"[[43, 14], [23, 31]]"
