condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,228,111,0.7027027027027027,0.6978557504873294,0.6905465911970938,"[[50, 7], [26, 28]]"
real+synthetic-all,290,111,0.7117117117117117,0.7071150097465887,0.7010101010101011,"[[50, 7], [25, 29]]"
synthetic-only-good,99,111,0.7207207207207207,0.7139376218323586,0.6987128972944576,"[[55, 2], [29, 25]]"
real+synthetic-good,161,111,0.6396396396396397,0.6374269005847953,0.6360655737704918,"[[41, 16], [24, 30]]"
