setting,activity,n,MDD,ACD,SD,KD,ED,DTW,real_windows,paired_windows,train_subjects_for_generator,heldout_reference_subjects
unseen_raw_unified,walking,51,0.18756774067878723,4.2118754386901855,0.07237124443054199,39.80445098876953,787.557755081652,11160.440820402782,45,45,101/102/105,106/108
unseen_raw_unified,running,58,0.23216351866722107,1.2958511114120483,1.683668851852417,92.04380798339844,689.4754860858185,9567.383781921804,44,44,101/102/105,106/108
unseen_clip_p05_p95,walking,51,0.18884553015232086,1.9920053482055664,0.1726953536272049,1.1749167442321777,21.496349438705767,151.10198521786862,45,45,101/102/105,106/108
unseen_clip_p05_p95,running,58,0.2361212819814682,2.227890729904175,0.9866247177124023,1.1486148834228516,20.68487363267271,146.68890816267586,44,44,101/102/105,106/108
