condition,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,confusion_matrix
majority,62,111,0.5135135135135135,0.5,0.3392857142857143,"[[57, 0], [54, 0]]"
real-only,62,111,0.6126126126126126,0.6086744639376218,0.6021505376344085,"[[43, 14], [29, 25]]"
synthetic-only-all,162,111,0.7387387387387387,0.732943469785575,0.7235723486474882,"[[54, 3], [26, 28]]"
real+synthetic-all,224,111,0.7117117117117117,0.7085769980506822,0.7063492063492063,"[[47, 10], [22, 32]]"
synthetic-only-good,74,111,0.7207207207207207,0.7139376218323586,0.6987128972944576,"[[55, 2], [29, 25]]"
real+synthetic-good,136,111,0.6396396396396397,0.6374269005847953,0.6360655737704918,"[[41, 16], [24, 30]]"
